id,source_file,sheet,row_id,module,issue_type,priority,title,description,actual_result,expected_result,reference
F1-DEF-1,Heat Cool - Defect & Improvemets _ Kalpesh T..xlsx,Defects,1,Login Screen,Functional,High,The new user not able to register.,"The system is not providing a new user to register themself in the portal, there's only sign-in features are available. New user is not able to register with their email address.","When the new user comes to the platform they does not have an option for Sign-up. As a result, user is not able to register the new email address or create a new account.

The user is able to do only sign-in with already registered email address and password.",The system should provide an option for Sign-up to the user.,Heat Cool - Defect & Improvemets _ Kalpesh T..xlsx::Defects::1
F1-DEF-2,Heat Cool - Defect & Improvemets _ Kalpesh T..xlsx,Defects,2,Cities,Validation,Critical,Validation message missing from the modal.,"When a user trying to add a new city and enter input, the validation message is not displaying to the user for incorrect data entered.","When the user is trying to add a new city with invalid data, the system is not showing an error message to the user such as ""Entered data is incorrect.""",The system should display the proper and clear validation message to the user to guild them during the flow.,Heat Cool - Defect & Improvemets _ Kalpesh T..xlsx::Defects::2
F1-DEF-3,Heat Cool - Defect & Improvemets _ Kalpesh T..xlsx,Defects,3,Cities,Redirection,High,The user stays on the edit page after clicking on Save Changes button.,"When the user update the city details and clicks on the OK from the pop-up, they are not redirected to the Cities tab. The user stays on the Edit page.","After clicking on the OK from pop-up modal, the user is not navigating to the Cities tab page. The user stays on the Edit page even if they made the change and confirm the action from OK.",The user should be redirected to the Cities page after they confirmed the pop-up.,Heat Cool - Defect & Improvemets _ Kalpesh T..xlsx::Defects::3
F1-DEF-4,Heat Cool - Defect & Improvemets _ Kalpesh T..xlsx,Defects,4,Cities,Functional,High,The delete icon performing 'Deactivate' function.,"When the user navigate to the cities tab and trying to perform delete action with delete icon for Active or Non-active cities, the system is performing Deactivate function only.

The user is not able to delete the already added cities.","The user is not able to delete the Active or Inactive cities.

The incorrect modal is displaying for the Inactive city.","When the user tries to click on Delete icon for Active cities, the system should show the content for Deactivate and Delete city with button.

The system should show only delete content with button for inactive city.",Heat Cool - Defect & Improvemets _ Kalpesh T..xlsx::Defects::4
F1-DEF-5,Heat Cool - Defect & Improvemets _ Kalpesh T..xlsx,Defects,5,Buildings,UI/UX,Low,The line break added for the other cells in the table by clicking on 'Paused' icon.,"When the user clicks on the 'Paused' button for a building, the system automatically adds a line break for other cells in the table despite the cells are not related to the updated row.","When a user click on the Paused icon for the specific building, the system adds a line break on the other cells instead of adding a line break on the status column itself.","The system should not add a line break on the other cells.

The line break should be added automatically for the Status column when user click on the Paused icon.",Heat Cool - Defect & Improvemets _ Kalpesh T..xlsx::Defects::5
F1-DEF-6,Heat Cool - Defect & Improvemets _ Kalpesh T..xlsx,Defects,6,Recipients,UI/UX,Low,The building name dropdown shows cropped from right side.,"When the user selects a long building name from the dropdown to filter the result, the building name showing as cropped instead of clipping the name.",The selected building name is displaying cropped from right side.,"The building name should be display properly.

The system should display long building name by cliping it.",Heat Cool - Defect & Improvemets _ Kalpesh T..xlsx::Defects::6
F1-DEF-7,Heat Cool - Defect & Improvemets _ Kalpesh T..xlsx,Defects,7,Staff,Security,Critical,Inactive staff member able to access the features.,"When an Admin marked a staff member as Inactive, still the same staff member is able to access the features and generate a report with any validation message or issues.",The staff member's session remains activated and the user is able to access the features without any notification or issues.,"When an Admin marked any staff member as Inactive, the staff member's session should be inactivated immediately and the system should revoke the access.",Heat Cool - Defect & Improvemets _ Kalpesh T..xlsx::Defects::7
F1-DEF-8,Heat Cool - Defect & Improvemets _ Kalpesh T..xlsx,Defects,8,Staff,Functional,High,An Admin not able to delete the staff member.,"When the user is trying to delete the Staff member by clicking on the Delete icon, the system is showing a validation message - ""Error deleting staff"" and the user is not able to delete the staff member.","The user is not able to delete the staff member by clicking on the Delete icon.

An error message is displaying when the user clicking on the Delete icon to delete the staff member.","When user click on the Delete icon, the system should removed the staff member.",Heat Cool - Defect & Improvemets _ Kalpesh T..xlsx::Defects::8
F1-DEF-9,Heat Cool - Defect & Improvemets _ Kalpesh T..xlsx,Defects,9,Templates,Functional,High,The delete action not functional for the Templates.,"When the user is trying to delete the template by clicking on the Delete icon, the system is showing a modal that says 'Are you sure you want to delete this template? Default template will be used if deleted.' - After clicking on Delete button nothing is happened. The template remains the same.","When the user tries to delete the template by clicking on the Delete icon, the system is not deleting a template and no validation message is displays. The template remains same.","The system should show the validation message if deletion fails.

By clicking on the Delete CTA from the modal, the system should remove the template and revoke the default template in place.",Heat Cool - Defect & Improvemets _ Kalpesh T..xlsx::Defects::9
F1-DEF-10,Heat Cool - Defect & Improvemets _ Kalpesh T..xlsx,Defects,10,Buildings Management,Functional,High,System allows creation of duplicate buildings with same name and address,"The application allows users to create multiple building records with identical building name and address. This leads to duplicate entries, which can cause data inconsistency and confusion during management and reporting.",System allows saving multiple buildings with the same name and address without any validation or warning.,"System should restrict duplicate entries by validating unique combination of building name and address, and display an error message if a duplicate is detected.",Heat Cool - Defect & Improvemets _ Kalpesh T..xlsx::Defects::10
